Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
03 01 2018 17:20,157.8495026,4.43715477,208.8146524,225.1553955
03 01 2018 17:30,50.42205048,3.677906036,74.4575207,220.4692993
03 01 2018 17:40,88.1881485,4.115369797,144.7212631,222.5281067
03 01 2018 17:50,242.3132935,4.987364769,332.9015993,220.7682037
03 01 2018 18:00,262.8019104,4.871101856,304.9535561,222.9488983
03 01 2018 18:10,584.6671143,5.921298981,598.7577677,212.7292938
03 01 2018 18:20,298.586792,5.030583858,343.5487361,216.0464935
03 01 2018 18:30,279.7724915,4.997858047,335.4735677,206.8820038
03 01 2018 18:40,823.4796143,6.434377193,780.5598676,208.842804
03 01 2018 18:50,883.265625,6.996636868,1014.475559,212.2098999
03 01 2018 19:00,1155.17395,7.625429153,1323.35127,205.5773926
03 01 2018 19:10,1400.389038,8.103025436,1589.535548,198.4824066
03 01 2018 19:20,1205.10498,7.518618107,1267.568261,207.7772064
03 01 2018 19:30,1292.051025,7.688251019,1356.847422,199.1479034
03 01 2018 19:40,1856.177002,8.459005356,1802.775046,192.9795074
03 01 2018 19:50,1928.175049,9.077300072,2193.93789,194.6878967
03 01 2018 20:00,1604.427002,8.439414978,1790.767706,196.0083008
03 01 2018 20:10,1599.995972,7.987431049,1522.807198,203.3475037
03 01 2018 20:20,1456.094971,7.939982891,1495.816905,209.9878998
03 01 2018 20:30,1386.623047,7.719861984,1373.888155,213.6096039
03 01 2018 20:40,1460.360962,7.774147034,1403.435097,214.1114044
03 01 2018 20:50,1894.795044,8.582259178,1878.957276,210.4824066
03 01 2018 21:00,1760.422974,8.339191437,1729.804577,212.0424042
03 01 2018 21:10,2010.977051,9.083572388,2198.000295,214.585495
03 01 2018 21:20,1828.81604,8.675281525,1937.131478,211.3721008
03 01 2018 21:30,1960.692993,9.150783539,2241.613462,208.8197937
03 01 2018 21:40,1900.447998,9.191649437,2268.199522,204.3585052
03 01 2018 21:50,1549.958008,8.260289192,1682.388913,201.8890991
03 01 2018 22:00,1692.688965,8.48968792,1821.638384,194.9138947
03 01 2018 22:10,1931.083984,8.78850174,2008.641646,194.1036072
03 01 2018 22:20,2060.147949,8.9564991,2115.986258,193.3457947
03 01 2018 22:30,2069.625,9.095618248,2205.805875,195.2973938
03 01 2018 22:40,2037.266968,8.725904465,1969.014282,199.5845032
03 01 2018 22:50,1594.845947,8.112092018,1594.82568,197.5211029
03 01 2018 23:00,994.5827026,6.856678963,952.7545786,200.4409943
03 01 2018 23:10,1137.285034,7.279873848,1147.124788,200.8896942
03 01 2018 23:20,1267.858032,7.534298897,1275.663238,199.7960968
03 01 2018 23:30,1002.463013,6.945837021,991.791762,196.680603
03 01 2018 23:40,1172.348022,7.085527897,1054.959522,199.6690063
03 01 2018 23:50,1252.139038,7.406904221,1210.225036,197.4501953
04 01 2018 00:00,1121.166992,6.934106827,986.5997761,196.3952026
04 01 2018 00:10,1183.020996,7.151297092,1085.577233,194.0278931
04 01 2018 00:20,932.3084106,6.571721077,834.3322217,191.2942047
04 01 2018 00:30,989.5076904,6.759712219,911.3914755,190.1013947
04 01 2018 00:40,750.5510254,6.414824963,773.0743738,185.5180969
04 01 2018 00:50,825.7661743,6.523455143,815.1962332,187.6056976
04 01 2018 01:00,1116.487061,7.062949181,1044.579697,192.7353973
04 01 2018 01:10,986.7598877,6.692947865,883.5576994,196.0746002
04 01 2018 01:20,1018.14502,6.809185982,932.3551445,194.8430023
04 01 2018 01:30,659.1777954,6.096306801,656.9602747,192.4667969
04 01 2018 01:40,729.4874268,6.142684937,673.1894828,190.7617035
04 01 2018 01:50,864.5026245,6.430369854,779.022258,194.5778046
04 01 2018 02:00,1342.239014,7.538290977,1277.729355,197.9828033
04 01 2018 02:10,1279.098022,7.363255978,1188.27897,197.254303
04 01 2018 02:20,1351.391968,7.46066618,1237.646646,201.2154999
04 01 2018 02:30,1039.727051,7.031758785,1030.349722,199.337204
04 01 2018 02:40,876.0166016,6.874794006,960.6072518,194.1508026
04 01 2018 02:50,754.0079956,6.345135212,746.7335706,196.0812073
04 01 2018 03:00,1122.334961,7.185342789,1101.653759,198.135498
04 01 2018 03:10,907.7965698,6.635414124,859.9864071,199.4308014
04 01 2018 03:20,1009.737,6.927267075,983.5802763,194.1383057
04 01 2018 03:30,1806.98999,8.333586693,1726.419178,193.2097015
04 01 2018 03:40,2374.843994,9.532950401,2465.780065,191.9416962
04 01 2018 03:50,1779.208984,8.42602253,1782.575933,189.827301
04 01 2018 04:00,1334.980957,7.494080067,1254.910872,192.1376038
04 01 2018 04:10,1562.947021,8.009915352,1535.679929,192.0973053
04 01 2018 04:20,1562.116943,7.944521904,1498.388472,194.2440033
04 01 2018 04:30,1464.977051,7.72806406,1378.329691,200.2335968
04 01 2018 04:40,1312.358032,7.462277889,1238.475456,205.0283966
04 01 2018 04:50,767.0369873,6.420166969,775.1153796,200.6712952
04 01 2018 05:00,283.2593079,4.7484622,276.5245875,201.9185028
04 01 2018 05:10,687.1071777,6.264211178,716.8074668,208.1761017
04 01 2018 05:20,465.7536011,5.50088501,469.2545248,200.7915955
04 01 2018 05:30,355.6220093,5.27207613,405.760119,208.0086975
04 01 2018 05:40,467.8251953,5.701906204,529.0010043,217.7465057
04 01 2018 05:50,865.3469849,6.579235077,837.3348199,212.3013
04 01 2018 06:00,1512.972046,7.678398132,1351.561187,208.9172974
04 01 2018 06:10,1491.698975,7.89579916,1470.901705,217.2373962
04 01 2018 06:20,2004.44104,8.964849472,2121.355873,221.3515015
04 01 2018 06:30,1581.483032,8.083142281,1577.962305,219.8023987
04 01 2018 06:40,1431.620972,7.799798965,1417.519324,214.5469971
04 01 2018 06:50,1523.792969,7.978303909,1517.596799,216.9134064
04 01 2018 07:00,1693.270996,8.155491829,1620.257833,215.3661041
04 01 2018 07:10,1775.037964,8.248645782,1675.437185,211.0007935
04 01 2018 07:20,1875.410034,8.495847702,1825.433662,210.1282959
04 01 2018 07:30,1558.057983,7.96182394,1508.211169,208.8327026
04 01 2018 07:40,1811.088989,8.35203743,1737.573598,204.2586975
04 01 2018 07:50,1686.125977,8.135239601,1608.367728,198.5278015
04 01 2018 08:00,2362.262939,9.599003792,2516.478296,198.7720032
04 01 2018 08:10,2000.86499,8.982050896,2132.426304,197.4006958
04 01 2018 08:20,1169.964966,7.2846632,1149.461729,189.5783997
04 01 2018 08:30,1309.223999,7.521474838,1269.040544,182.8565979
04 01 2018 08:40,759.0145264,6.215313911,699.0669586,186.8215027
04 01 2018 08:50,498.1903076,5.501014233,469.2917094,195.8029938
04 01 2018 09:00,332.4820862,5.106607914,362.6279759,195.1764069
04 01 2018 09:10,253.5845032,4.649808884,254.4003993,191.6334991
04 01 2018 09:20,180.4122925,4.374350071,195.8669199,206.2425995
04 01 2018 09:30,258.3656921,4.833168983,296.0476529,196.2194977
04 01 2018 09:40,133.0052948,4.907478809,313.5912843,187.0084991
04 01 2018 12:40,0,2.888112068,0,0
04 01 2018 12:50,0,2.386636019,0,139.2751007
04 01 2018 13:00,0,2.476815939,0,153.8556061
04 01 2018 13:10,0,1.77384305,0,144.0395966
04 01 2018 13:20,0,2.48486495,0,142.8634033
04 01 2018 13:30,0,2.764512062,0,133.9111023
04 01 2018 13:40,0,2.5070889,0,103.2738037
04 01 2018 13:50,0,3.441704035,45.74272546,79.09410858
04 01 2018 14:00,0,2.484878063,0,106.4503021
04 01 2018 14:10,0,2.436743021,0,102.7186966
04 01 2018 14:20,0,2.359375954,0,107.3701019
04 01 2018 14:30,0,3.021173,16.71339969,94.58883667
04 01 2018 14:40,0,3.395319939,41.15246635,97.73842621
04 01 2018 14:50,0,3.413508892,42.91145285,101.6998978
04 01 2018 15:00,0,5.160031796,376.3091657,81.87310028
04 01 2018 15:10,0,5.161472797,376.6813732,62.48146057
04 01 2018 15:20,0,5.414981842,444.8721366,61.62747955
