DateTime,WindSpeed,WindDirection,ActivePower_kW,PredictedPower_kW,Source
03 01 2018 06:00,8.094,1584.396,1568.886,1453.710,CSV
03 01 2018 06:10,7.855,1448.061,1580.903,1207.006,CSV
03 01 2018 06:20,7.719,1373.675,1495.180,1184.260,CSV
03 01 2018 06:30,8.848,2046.439,2063.869,1805.105,CSV
03 01 2018 06:40,9.631,2540.492,2368.760,2207.111,CSV
03 01 2018 06:50,9.768,2638.972,2516.420,2228.421,CSV
03 01 2018 07:00,9.185,2263.873,2108.771,1815.908,CSV
03 01 2018 07:10,9.928,2746.290,2568.111,2489.895,CSV
03 01 2018 07:20,12.033,3526.952,3445.220,3320.959,CSV
03 01 2018 07:30,10.873,3225.769,2994.107,2766.583,CSV
03 01 2018 07:40,10.381,3006.932,2594.937,2550.485,CSV
03 01 2018 07:50,10.343,2987.588,2326.826,1543.528,CSV
03 01 2018 08:00,9.284,2328.308,1941.464,1471.682,CSV
03 01 2018 08:10,8.264,1684.578,1581.487,1204.621,CSV
03 01 2018 08:20,7.161,1090.179,1013.287,942.995,CSV
03 01 2018 08:30,5.502,469.619,375.618,358.951,CSV
03 01 2018 08:40,4.646,253.467,198.151,189.624,CSV
03 01 2018 08:50,3.848,100.642,87.440,61.340,CSV
03 01 2018 09:00,4.554,233.456,189.138,234.407,CSV
03 01 2018 09:10,5.736,539.507,434.432,438.604,CSV
03 01 2018 09:20,5.058,350.369,336.501,272.628,CSV
03 01 2018 09:30,4.922,317.172,296.610,273.044,CSV
